"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B2A05",172.307894736842,-62.3137078947368,1,19.6233333333333,9.41333333333333,29.0366666666667,17.0601313316667,11.0271836868333,1.4471556175,28.0873150185,"B2",1.90393760579987,-21.3812193131326,0.983333333333333,-2.56320200166667,-397.104697148063,-480.799624355932
"B2A06",464.004210526316,136.914875789474,4,20.8033333333333,11.71,32.5133333333333,19.40672484,13.7225950116667,1.368905493,33.1293198516667,"B2",2.49466057331206,-28.0150382382944,3.67796610169492,-1.39660849333334,-204.670429453202,-95.7705919020228
"B2A08",195.673236842105,-46.3551792368421,2,22.8666666666667,10.8166666666667,33.6833333333333,20.4472936583333,12.1428672266667,1.24791517116667,32.590160885,"B2",2.0133113183654,-22.6094861052434,1.6271186440678,-2.41937300833333,-323.217488629202,-392.182153971288
"B2A09",223.946052631579,-27.0448460526316,4,22.51,11.5833333333333,34.0933333333333,20.3620986016667,13.8679594316667,1.30289074916667,34.2300580333333,"B2",0.999327324222267,-11.2224458510161,3.93333333333333,-2.14790139833333,-299.59136868255,-337.858660586197
"B2A10",403.037368421053,95.274522631579,16,22.6083333333333,11.3291666666667,33.9375,23.5036536766667,13.197827925,1.2313447075,36.7014816016667,"B2",1.08660229088038,-12.2025437265867,12.864406779661,0.895320343333331,118.022567030168,201.09454593516
"B2A12",393.648657894737,88.8620333421053,8,18.0233333333333,8.7,26.7233333333333,18.2354206166667,9.01050619216667,1.383368769,27.2459268088333,"B2",0.955683486438668,-10.7323255527062,6.13559322033898,0.212087283333332,31.4093935958199,109.539101385219
"B2A13",117.592105263158,-99.6845921052631,1,17.3466666666667,11.69,29.0366666666667,13.9764685916667,16.7928148783333,1.48230847433333,30.76928347,"B2",5.51714205395311,-61.9575052658934,1,-3.370198075,-534.811790866891,-696.453888238048
"B2A14",398.483473684211,92.1642125263159,8,18.1708333333333,10.3125,28.4833333333333,18.806023575,10.669294244,1.34277772866667,29.475317819,"B2",1.36571300069753,-15.3369569978333,6,0.635190241666667,91.3092767295233,168.136532258006
"B2A15",627.186315789474,248.368253684211,1,20.6001666666667,10.8498333333333,31.45,17.420768235,11.5850063816667,1.4339126615,29.0057746166667,"B2",4.13842242066268,-46.4744837840419,0.733333333333333,-3.17939843166667,-488.06156826354,-286.167798363371
"B2A16",593.655157894737,225.466472842105,4,22.0266666666667,11.92,33.9466666666667,20.3492455033333,13.3018109,1.36369751616667,33.6510564033333,"B2",1.4064062616219,-15.7939423180139,3.61016949152542,-1.67742116333334,-244.887785147399,-35.2152546233073
