year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B2A18;D2;0;0.05;139.179;0;139.179
2021;6;B2A18;D3;0;0.05;91.21;0;91.21
2021;6;B2A19;D1;0;0.05;127.238;55.765;71.473
2021;6;B2A19;D2;0;0.05;16.898;0;16.898
2021;6;B2A19;D3;0;0.05;35.505;0;35.505
2021;6;B2A20;D1;0;0.05;76.742;0;76.742
2021;6;B2A20;D2;0;0.05;195.321;108.206;87.116
2021;6;B2A20;D3;0;0.05;72.629;39.199;33.43
2021;6;B2A21;D1;0;0.05;161.02;85.158;75.863
2021;6;B2A21;D2;0;0.05;79.516;0;79.516
2021;6;B2A21;D3;0;0.05;405.813;172.316;233.498
2021;6;B2A22;D1;0;0.05;20.75;0;20.75
2021;6;B2A22;D2;0;0.05;107.626;0;107.626
2021;6;B2A22;D3;0;0.05;80.162;9.353;70.809
2021;6;B3A01;D1;0;0.05;59.09;13.725;45.365
2021;6;B3A01;D2;0;0.05;52.622;35.565;17.058
2021;6;B3A01;D3;0;0.05;71.406;0;71.406
2021;6;B3A02;D1;0;0.05;54.107;42.91;11.197
2021;6;B3A02;D2;0;0.05;63.746;6.771;56.974
2021;6;B3A02;D3;0;0.05;11.673;0;11.673
2021;6;B3A03;D1;0;0.05;8.729;0;8.729
2021;6;B3A03;D2;0;0.05;23.751;0;23.751
2021;6;B3A03;D3;0;0.05;21.096;0;21.096
2021;6;B3A04;D1;0;0.05;78.44;0;78.44
2021;6;B3A04;D2;0;0.05;77.967;0;77.967
2021;6;B3A04;D3;0;0.05;98.256;0;98.256
2021;6;B3A05;D1;0;0.05;215.372;0;215.372
2021;6;B3A05;D2;0;0.05;149.572;0;149.572
2021;6;B3A05;D3;0;0.05;204.121;0;204.121
2021;6;B3A06;D1;0;0.05;189.378;0;189.378
2021;6;B3A06;D2;0;0.05;175.043;0;175.043
2021;6;B3A06;D3;0;0.05;37.409;0;37.409
2021;6;B3A07;D1;0;0.05;52.398;0;52.398
2021;6;B3A07;D2;0;0.05;57.09;0;57.09
2021;6;B3A07;D3;0;0.05;23.638;0;23.638
2021;6;B3A08;D1;0;0.05;20.529;0;20.529
2021;6;B3A08;D2;0;0.05;56.81;0;56.81
2021;6;B3A08;D3;0;0.05;71.398;0;71.398
2021;6;B3A09;D1;0;0.05;166.257;0;166.257
2021;6;B3A09;D2;0;0.05;105.798;0;105.798
2021;6;B3A09;D3;0;0.05;222.233;0;222.233
2021;6;B3A11;D1;0;0.05;40.08;0;40.08
2021;6;B3A11;D2;0;0.05;158.547;0;158.547
2021;6;B3A11;D3;0;0.05;89.539;0;89.539
2021;6;B3A12;D1;0;0.05;18.78;0;18.78
2021;6;B3A12;D2;0;0.05;35.169;25.337;9.832
2021;6;B3A12;D3;0;0.05;3.803;0;3.803
