"Block","Plot","Treatment","Date_of_collection","LDMC","LMA","Leaf_Nitrogen","Leaf_Carbon","Diameter","SRL","RDMC","RTD","Root_Nitrogen","Root_Carbon","Comment_leaf","Comment_root"
"B4","B4A02","D1",2021-06-09,0.1678,48.36,1.62,45.18,0.166,231.16,0.2641,0.1499,1.03056432913701,42.1225882129605,NA,NA
"B4","B4A02","D2",2021-06-09,0.1473,30.69,2.12,42.43,0.35,54.18,0.2022,0.1445,0.864704160816428,43.4828064206209,NA,NA
"B4","B4A02","D3",2021-06-09,0.1583,30.81,2.04,43.8,0.26,167.22,0.1511,0.0824,0.852712557554984,44.0043554991473,NA,NA
"B4","B4A04","D1",2021-06-09,0.2617,31.32,2.52,44.81,0.224,237.96,0.0999,0.084,0.85,42.46,NA,NA
"B4","B4A04","D2",2021-06-09,0.1804,45.42,1.67,43.93,0.246,157.94,0.2429,0.0955,0.88,41.5,NA,NA
"B4","B4A04","D3",2021-06-09,0.2974,30.88,2.4415487476358,45.4180421918469,0.326,79.54,0.2246,0.1011,1.01,41.41,"no lable inside box for scanning",NA
"B4","B4A06","D1",2021-06-09,0.1848,36.09,1.70784331244176,44.6770024511211,0.303,95.66,0.1635,0.1016,1.00250528335375,44.533091312624,NA,NA
"B4","B4A06","D2",2021-06-09,0.1929,37.75,1.97057830827713,44.3552986216962,0.318,66.39,0.2299,0.1352,1.03398320430916,42.1311637513754,NA,NA
"B4","B4A06","D3",2021-06-09,0.1901,39.93,1.56,43.54,0.25,162.67,0.1827,0.094,1.23183466757461,43.5089155786245,NA,NA
"B4","B4A07","D1",2021-06-09,0.1432,40.45,1.88,43.81,0.304,113.43,0.1381,0.0994,1.04,43.17,NA,NA
"B4","B4A07","D2",2021-06-09,0.2208,35.17,4.05,47.2,0.22,250.74,0.1521,0.0808,1.39,42.3,NA,NA
"B4","B4A07","D3",2021-06-09,0.1522,30.22,3.09393940315818,44.8650491984936,0.224,178.46,0.1935,0.1051,1.1,44.45,NA,NA
"B4","B4A08","D1",2021-06-09,NA,42.55,1.63,44.1,0.277,124.2,0.1668,0.1058,0.78,44.99,"Missing FW",NA
"B4","B4A08","D2",2021-06-09,0.2068,59.45,1.55555114907596,44.3291319709822,0.241,173.98,0.1952,0.1016,0.809414612927952,43.5188543210503,"lable was not there",NA
"B4","B4A08","D3",2021-06-09,0.1932,42.51,1.51,44.45,0.277,131.9,0.1474,0.0994,0.76,44.47,NA,NA
"B4","B4A09","D1",2021-06-10,0.2138,34.92,3.17,46.07,0.238,207.4,0.1605,0.0805,1.41,38.14,NA,NA
"B4","B4A09","D2",2021-06-10,0.2286,38.48,3.02,44.62,0.194,245.84,0.1886,0.1028,1.02,44.28,NA,NA
"B4","B4A10","D1",2021-06-10,0.2628,53.98,1.99655325320693,44.7868034783139,0.259,132.87,0.1934,0.1053,0.851256725583813,40.2179882036899,NA,NA
"B4","B4A10","D2",2021-06-10,0.3366,56.24,1.74,45.09,0.306,96.86,0.2069,0.1054,0.628458864457904,34.9815150087975,NA,NA
"B4","B4A10","D3",2021-06-10,0.2574,47.24,1.78,44.56,0.275,115.18,0.1932,0.1175,0.942327511267524,41.3415519523533,NA,NA
"B4","B4A11","D1",2021-06-10,0.263,28.57,3.68,46.99,0.202,201.78,0.2028,0.1043,1.29920295411283,47.2693745134608,NA,NA
"B4","B4A11","D2",2021-06-10,0.2079,45.01,2.6,45.6,0.206,244.06,0.1633,0.0914,0.92,43.87,NA,NA
"B4","B4A11","D3",2021-06-10,0.1651,35.75,2.86,46.8,0.177,374.65,0.1845,0.0835,1.06943568607407,43.8764139570837,NA,NA
"B4","B4A12","D1",2021-06-10,0.2848,59.64,1.66,44.12,0.203,212.72,0.2525,0.1158,0.92,42.82,NA,NA
"B4","B4A12","D2",2021-06-10,0.364,81.64,1.4,44.48,0.184,177.2,0.3032,0.1661,0.78,42.46,NA,NA
"B4","B4A12","D3",2021-06-10,0.3146,44.61,1.90174996785648,45.4293847990564,0.168,213.34,0.2376,0.1597,1.33,45.06,NA,NA
"B4","B4A14","D1",2021-06-10,0.1813,55.59,1.2227056620177,43.6066765223981,0.179,257.34,0.2058,0.1195,1,43.75,NA,NA
"B4","B4A14","D2",2021-06-10,0.1712,42.77,1.36,45.13,0.251,219.34,0.1593,0.0698,1.24682400129456,43.2824718171063,NA,NA
"B4","B4A14","D3",2021-06-10,0.1872,55.64,1.25820258124012,44.381843103518,0.234,259.91,0.1493,0.0688,1.41,40.66,NA,NA
"B4","B4A15","D1",2021-06-10,0.1814,34.91,2.23843928561187,43.7309937284537,0.153,459.67,0.1692,0.0999,0.870811047816611,42.6866585494455,NA,NA
"B4","B4A15","D2",2021-06-10,0.2401,47.56,1.66442520686349,44.083449495925,0.208,195.99,0.2668,0.1103,1.05825545855119,41.7034927374616,NA,NA
"B4","B4A15","D3",2021-06-10,0.2328,37.41,2.32,44.99,0.231,251.94,0.1373,0.0783,1.22,38.93,NA,NA
"B4","B4A16","D1",2021-06-10,0.1731,30.67,2.10729791721058,43.192867759966,0.255,173.96,0.1242,0.0796,1.84598795256534,41.4182915410653,NA,NA
"B4","B4A16","D2",2021-06-10,0.23,33.97,3.09197564207276,45.4064045775794,0.225,205.33,0.1226,0.0764,1.72,41.32,NA,NA
"B4","B4A16","D3",2021-06-10,0.1971,39.59,2.62,45.34,0.24,60.97,0.2636,0.1806,0.835671897071326,43.2163291344381,"wrong place (unknown sample) sample B4A16D3",NA
"B4","B4A17","D1",2021-06-10,0.3023,36.89,1.84202165720142,44.9291726167508,0.165,316.84,0.2136,0.1236,0.85,45.06,NA,NA
"B4","B4A17","D2",2021-06-10,0.2121,24.76,2.51,45.4,0.212,329,0.1412,0.0684,1.12397260941704,43.9915164748332,NA,NA
"B4","B4A17","D3",2021-06-10,0.2159,32.58,2.33,45.01,0.217,305.03,0.1223,0.075,0.92,40.53,NA,NA
"B4","B4A18","D1",2021-06-11,0.1103,31.34,2.83698261664238,44.0281437040294,0.189,271.87,0.1581,0.0924,1.38953768396277,43.2505586066994,NA,NA
"B4","B4A18","D2",2021-06-11,0.2129,42.08,2.91,46.55,0.237,148.02,0.2059,0.1126,1.0706972179583,41.8941088864041,NA,NA
"B4","B4A18","D3",2021-06-11,0.227,43.81,2.93355099289427,46.2437107973355,0.194,209.41,0.2579,0.1309,1.02928704773503,43.3207167205777,NA,NA
"B4","B4A20","D1",2021-06-11,0.2044,41.4,2.8366191206504,45.471659246861,0.2,243.82,0.1765,0.0967,0.96,45.41,NA,NA
"B4","B4A20","D2",2021-06-11,0.2027,34.67,2.98,45.95,0.192,338.27,0.152,0.0763,0.885073529423912,45.5082423968492,NA,NA
"B4","B4A20","D3",2021-06-11,0.2402,41.07,3.21113654142706,46.4363429635826,0.18,477.16,0.1242,0.0668,1.45226636443076,43.873271876966,NA,NA
"B4","B4A21","D1",2021-06-11,0.2381,36.75,4.07,47.75,0.182,364.44,0.2006,0.0838,1.21,41.54,NA,NA
"B4","B4A21","D2",2021-06-11,0.2608,37.68,4.40388831760824,47.0028186896407,0.219,307.66,0.1349,0.0666,1.15,34.57,NA,NA
"B4","B4A21","D3",2021-06-11,0.2457,36.64,4.48,46.52,0.195,388.06,0.1366,0.0705,1.61,45.51,NA,NA
"B4","B4A22","D1",2021-06-11,0.186,44.92,1.82,46.83,0.328,20.6,0.3179,0.2036,0.57,46.41,NA,"unscanned sample two entries (probably wrong = 0.19506)"
"B4","B4A22","D2",2021-06-11,0.1973,55.55,2.01,47.97,0.305,94.48,0.1637,0.1224,1.1,46.16,NA,NA
"B4","B4A22","D3",2021-06-11,0.1938,40.42,2.09,46.32,0.24,127.43,0.2326,0.1171,0.92,47.12,NA,NA
